-7.6157 -5.7393 2
-1.3624 -4.048 2
-4.2999 -0.78269 1
-1.4685 -5.7485 2
0.81947 -1.3749 1
4.3274 1.5207 0
-5.5413 -1.681 2
-3.111 2.6217 0
-0.068531 -2.5696 1
-3.0949 -5.3676 2
-4.066 1.5336 1
-6.5177 -2.1129 2
-5.9371 -5.1802 2
0.82119 -0.1765 0
-2.786 1.4136 0
-3.878 -7.3045 2
-2.3195 -4.0316 2
-8.0096 -3.1441 2
-2.094 -6.1645 1
-1.8465 -1.5588 1
-4.3103 -4.1966 2
-1.7881 2.6093 0
-0.81828 -4.9661 2
-4.5129 -4.4254 2
0.49205 -0.032127 0
-6.4982 1.7848 1
-6.3569 1.9519 1
-3.3937 1.9172 1
-3.3865 -3.9681 2
-3.3996 0.093573 2
-0.04378 -2.3561 0
-4.4489 -4.1173 2
-4.6535 -7.954 2
2.9568 2.4588 0
2.2108 4.9866 0
-1.6085 5.4178 0
-3.4933 0.64838 1
-6.6938 -5.5983 2
3.1999 2.6425 0
2.9768 2.0917 0
-1.9093 -4.4122 2
-0.75777 -1.9082 1
-5.9857 1.1036 1
-1.8916 -5.3618 2
-6.6013 0.39994 2
-2.9662 0.72114 0
0.068011 2.5974 0
-2.6872 2.2241 0
-2.267 -7.9191 2
-3.6655 -5.8946 2
-0.21923 -1.9007 1
4.0514 0.71063 0
-3.1107 -3.6659 2
-1.367 4.2287 0
-3.17 -7.591 2
1.1435 0.81678 0
0.97662 -1.8833 2
-5.4121 2.4461 1
5.0501 2.9642 0
-6.6737 -6.5227 2
1.4365 2.3541 0
0.56371 4.0242 0
-4.2832 -0.5299 1
-0.071685 0.46364 0
-3.2743 -4.7408 2
-9.6444 -3.1364 2
-3.2858 -1.4651 2
1.1771 1.6452 0
-3.4644 4.2962 0
-2.7012 0.20273 1
-3.1537 -8.2802 2
1.0727 3.0309 0
-2.7701 -1.366 2
-4.1691 1.2256 1
-2.8144 -0.68974 0
-1.7833 -0.77119 1
-4.9067 1.8131 1
-1.9726 2.1113 1
-0.48353 1.978 1
-1.8439 -2.0336 2
0.29229 -0.30253 1
-0.67006 5.3136 0
-2.1887 1.5785 1
-1.8026 -2.3715 1
3.5294 0.68278 0
-0.19117 0.32452 0
-4.0952 -2.9913 2
1.0092 1.5212 0
-1.7587 7.689 0
-4.0411 -0.91926 2
-1.4521 -7.4243 2
1.7107 3.0899 0
1.1616 -2.6295 1
